source;sheet;row;code;resolved_factory;inn;name;output;status;changed;applied;problems
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2442;634-411699;"ООО ""Газснабинвест"", ИНН 6450925261";6450925261;Оголовок продувочной свечи на сбросную трубу наружным диаметром 57 мм с толщиной стенки 4 мм, из стали 09Г2С, с давлением рабочей среды 8,0 МПа, вид климатического исполнения ХЛ1 ОПС 57х4 09Г2С-8,0 ТУ 1469-020-96950580-2011.;Оголовок продувочной свечи на сбросную трубу наружным диаметром 57 мм с толщиной стенки 4 мм, из стали 09Г2С, с давлением рабочей среды 8,0 МПа, вид климатического исполнения ХЛ1 ОПС 57х4 09Г2С-8,0;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2419;679-110914;"ОАО ""Пермский Телефонный Завод ""Телта"", ИНН 5902250015";5902250015;Аппарат телефонный Телта-214. Масса-0,0008 т.;Аппарат телефонный Телта-214. Масса-0,0008 т;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;324;658-501749-1;"ГК ""Специальные системы и технологии"", ИНН 5029015168";5029015168;Щит питания и управления электрообогревом по типу ТУ 27.90.40-650-88851935-2019 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.КОС.045.4702.000-ЭОЭ.ОЛ1 (изм.1). Масса-1, т.;Щит питания и управления электрообогревом Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.КОС.045.4702.000-ЭОЭ.ОЛ1 (изм.1). Масса-1, т;ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;2122;19-334773-С;"АО ""Алексинстройконструкция"", ИНН 7111000104";7111000104;"Комплект элементов МГК 1,5 м (оголовок), полезная длина секции - 1095 мм: ЛМГ36.015.40М - 3 шт., толщина металла - 4,0 мм с дополнительным антикоррозионным покрытием для северных условий; болты сфМ20-6gx40.88 - 51 шт.; гайки сфМ20-6Н.6 - 51 шт. по типу ТУ 5264-001-01375096-2005.";"Комплект элементов МГК 1,5 м (оголовок), полезная длина секции - 1095 мм: ЛМГ36.015.40М - 3 шт., толщина металла - 4,0 мм с дополнительным антикоррозионным покрытием для северных условий; болты сфМ20-6gx40.88 - 51 шт.; гайки сфМ20-6Н.6 - 51 шт";ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;918;13-250061-С;"ООО НПП ""ИНТЕХ"" , Россия, г. Уфа, ИНН 0276132981, КПП 027601001, zakaz@ecabel.com";0276132981;Кабель 16х1,5ок КуПе-Бнг(А)-LS-ХЛ по типу ТУ 3581-001-92800518-2012.;Кабель 16х1,5ок КуПе-Бнг(А)-LS-ХЛ;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1543;6310-406696;"АО ""Промышленная группа ""Метран"", Россия, г.Челябинск, ИНН 7448024720, КПП 745301001, sales-1@metran.ru";7448024720;Уровнемер радарный волноводный Метран серии 5300, по типу ТУ 4214-070-51453097-2015, комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0721.004-АТХ2.ОЛ инв.№10171787. Масса-0,008 т.;Уровнемер радарный волноводный 5300, комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0721.004-АТХ2.ОЛ инв.№10171787. Масса-0,008 т;ЗЕЛЁНЫЙ;True;Метран + модельный индекс;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;887;603-379327-Ш;"АО ""ГМС Ливгидромаш"", Россия, г.Ливны, ИНН 5702000265, КПП 570201001, lgm@hms-livgidromash.ru";5702000265;Шефмонтажные работы. Блок дозирования метанола 60Н-2 по типу ТУ 28.13.12-344-00217975-2016 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0507.022-ТХ.ОЛ2 инв.№10172264. Масса-0 т.;Шефмонтажные работы. Блок дозирования метанола 60Н-2 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0507.022-ТХ.ОЛ2 инв.№10172264. Масса-0 т;ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;2330;19-447641-С;"АО ""Амира"" , Россия, Санкт-Петербург, ИНН 7806013181, КПП 780601001, amira@amira.ru";7806013181;Молниеотвод (Н-30м) по типу ТУ 96766379-008-2017 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УОК.010.4605.000-ЭГ.ОЛ инв.№016398/0004.;Молниеотвод (Н-30м) Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УОК.010.4605.000-ЭГ.ОЛ инв.№016398/0004;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1989;620-272882;"ООО ""ТД ФОКУС"", Россия, г.Фрязино, ИНН 5050116994, КПП 505001001, info@ledsvet.ru";5050116994;Светильник светодиодный с универсальным креплением, рассеиватель призма, 4000 К, IP54, 30 Вт, 230 В СПВО-30 Офис 7 Д ПЛ ТУ 27.40.39-011-01281952-2021.;Светильник светодиодный с универсальным креплением, рассеиватель призма, 4000 К, IP54, 30 Вт, 230 В СПВО-30 Офис 7 Д ПЛ;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1447;6210-282474;"АО НПП ""Эталон"", ИНН 5504087401";5504087401;Датчик температуры многозонный цифровой, 15 м, 18 датчиков МЦДТ 0922-2-1-18-2,0-(9х0,5+5х1,0+2х2,0+1х1,0)-У1-Ex МКСН.405226.001 ТУ.;Датчик температуры многозонный цифровой, 15 м, 18 датчиков 0922-2-1-18-2,0-(9х0,5+5х1,0+2х2,0+1х1,0)-У1-Ex МКСН.405226.001;ЗЕЛЁНЫЙ;True;МЦДТ;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1113;604-468814-Ш;"ООО ""Инициатива"", ИНН 7716050936";7716050936;Шефмонтажные работы. Пункт секционирования ПСС-10-м ТУ 3414-001-40244947-2008 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВЭЛ.424.4703.000-ЭВ.ОЛ1 (изм.1) инв.№016164/0004.;Шефмонтажные работы. Пункт секционирования Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВЭЛ.424.4703.000-ЭВ.ОЛ1 (изм.1) инв.№016164/0004;ЗЕЛЁНЫЙ;True;ПСС-10-М;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;1211;13-344892-С;"АО ""Акционерная компания ""Корвет"", ИНН 4501006138";4501006138;Соединение быстроразъемное БРС.41.000 209АФ.00.000 ТУ.;Соединение быстроразъемное БРС.41.000 209АФ.00.000;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1948;658-483402;"ООО Завод ""Световые технологии"", ИНН 6229028102";6229028102;Светильник светодиодный с блоком аварийного питания, крепление на поверхность потолка, 70 Вт, УХЛ2, IP54. Код светильника - 1499001190 LHT 1500 EM 5000К ТУ 27.40.25-003-88466159-2024.;Светильник светодиодный с блоком аварийного питания, крепление на поверхность потолка, 70 Вт, УХЛ2, IP54. Код светильника - 1499001190 LHT 1500 EM 5000К;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1852;6310-406876;"ЗАО ""Эмис"", Россия, г. Челябинск, ИНН 7729428453, КПП 745201001, sales@emis-kip.ru";7729428453;Расходомер электромагнитный Расходомер ЭМИС-МАГ 270 по типу ТУ 4213-030-14145564-2011 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.3114.204-АК.ОЛ1 инв.№10176224. Масса-0,0125 т.;Расходомер электромагнитный Расходомер -МАГ 270 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.3114.204-АК.ОЛ1 инв.№10176224. Масса-0,0125 т;ЗЕЛЁНЫЙ;True;ЭМИС;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1603;678-76563;"ЗАО ""Завод энергозащитных устройств"", ИНН 7802170835";7802170835;Ограничитель перенапряжений нелинейный мультиградиентный МОПН-П/ЗЭУ-10/12,0/10/400 УХЛ1 по типу ТУ 3414-023-56227313-2007№ 50-01/МШ-010278 от 15 октября 2020 г. п. 7. Масса-0,0022 т.;Ограничитель перенапряжений нелинейный мультиградиентный МОПН-П/ЗЭУ-10/12,0/10/400 УХЛ1 № 50-01/МШ-010278 от 15 октября 2020 г. п. 7. Масса-0,0022 т;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2662;103-185431-С;"АО ""Курский электроаппаратный завод"", ИНН 4629003691";4629003691;Выключатель автоматический OptiDin ВМ63-1C6-DC-УХЛ3 по типу ТУ 3421-040-05758109-2009.;Выключатель автоматический OptiDin ВМ63-1C6-DC-УХЛ3;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;345;643-450541;"ООО ""Уральский завод специального арматуростроения"", Россия, г. Челябинск, ИНН 7451403608, КПП 745101001, uzsa@uzsa.ru";7451403608;Кран шаровой специальный DN 150 PN 200 кгс/см2 с электроприводом, под приварку, подземной установки, климатическое исполнение ХЛ1 КШС-3-DN150-PN200-ЭП-Св-ПЗ-С8-ХЛ1 по типу ТУ 3742-031-75432272-2016 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УОК.011.0000.000-ТЛ.ОЛ2 инв.№013693/0004. Масса-0,377 т.;Кран шаровой специальный DN 150 PN 200 кгс/см2 с электроприводом, под приварку, подземной установки, климатическое исполнение ХЛ1 КШС-3-DN150-PN200-ЭП-Св-ПЗ-С8-ХЛ1 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УОК.011.0000.000-ТЛ.ОЛ2 инв.№013693/0004. Масса-0,377 т;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1866;105-507131-С;"ООО НПО ""Чистый Поток"", ИНН 0276957502";0276957502;Магнитная вставка для фильтра жидкостного ФЖ-1-300-1,6-1-2-0,2 ЧЕРТЕЖ П.783.00.00.000 ВО.;Магнитная вставка для фильтра жидкостного ФЖ-1-300-1,6-1-2-0,2 ЧЕРТЕЖ П.783.00.00.000 ВО;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;331;641-444076;"ЗАО ""АлтайСпецИзделия"", Россия, г.Барнаул, ИНН 2224130666, КПП 222201001, altaispecisdelia@yandex.ru";2224130666;Блок-контейнер управления (операторная). Габариты, мм - 10000х2500х3000 ТУ 5363-003-88960156-2013 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВЖК.000.3213.051-ТХВ.ОЛ1 инв.№012801/0004.;Блок-контейнер управления (операторная). Габариты, мм - 10000х2500х3000 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВЖК.000.3213.051-ТХВ.ОЛ1 инв.№012801/0004;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;528;630-407172;"ООО ""ПГА-Инжиниринг"", Россия, Москва, ИНН 9717081271, КПП 500301001, info@pgaeng.ru";9717081271;Установка газового пожаротушения автоматическая по типу ТУ 28.29.22-003-39107398-2019 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0507.022-ГПТ.ОЛ2 инв.№10172635. Масса-1,162 т.;Установка газового пожаротушения автоматическая Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0507.022-ГПТ.ОЛ2 инв.№10172635. Масса-1,162 т;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;543;648-468806-1;"ООО ""Инициатива"", ИНН 7716050936";7716050936;Пункт секционирования ПСС-10-м ТУ 3414-001-40244947-2008 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВЭЛ.009.4703.000-ЭВ.ОЛ (изм.1) инв.№018895/0004.;Пункт секционирования Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВЭЛ.009.4703.000-ЭВ.ОЛ (изм.1) инв.№018895/0004;ЗЕЛЁНЫЙ;True;ПСС-10-М;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1020;604-437455-Ш;"АО ""Трубопроводные системы и технологии"" (АО ""ТСТ""), Россия, г. Щёлково, ИНН 5012034772, КПП 505001001, info@pipe-st.ru";5012034772;Шефмонтажные работы. Подсистема коррозионного мониторинга ПКМ-ТСТ по типу ТУ-3435-012-93719333-2012. Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ПАД.001.0000.000-ЭХЗ.ОЛ инв.№10185611. Масса-0 т.;Шефмонтажные работы. Подсистема коррозионного мониторинга Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ПАД.001.0000.000-ЭХЗ.ОЛ инв.№10185611. Масса-0 т;ЗЕЛЁНЫЙ;True;ПКМ-ТСТ;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;61;631-399721;"АО ""Акционерная компания ""Корвет"", Россия, г.Курган, ИНН 4501006138, КПП 450101001, info@korvet-jsc.ru";4501006138;Модуль автоматизированной технологической обвязки скважин МОС-5/2 Чертеж МОС-31 ВО. Масса-13,5 т.;Модуль автоматизированной технологической обвязки скважин МОС-5/2 Чертеж МОС-31 ВО. Масса-13,5 т;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2079;648-466800;"ООО ""ПУ ""Казаньэлектрощит"", ИНН 1659033810";1659033810;"Устройство вводно-распределительное, 400В, N+PE в составе: вводной коммутационный аппарат - ВН-32 3Р 63А - 1шт.; отходящие коммутационные аппараты - ВА47-29-1С4-УХЛ3-КЭАЗ - 23шт. ВРУ8-15-3Н-304-31 УХЛ4 по типу ТУ 3434-010-33874352-2015№ 50-01/АВ-001408 от 20 января 2025 г. п. 4. Масса-0,01 т.";"Устройство вводно-распределительное, 400В, N+PE в составе: вводной коммутационный аппарат - ВН-32 3Р 63А - 1шт.; отходящие коммутационные аппараты - ВА47-29-1С4-УХЛ3-КЭАЗ - 23шт. ВРУ8-15-3Н-304-31 УХЛ4 № 50-01/АВ-001408 от 20 января 2025 г. п. 4. Масса-0,01 т";ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1604;648-451426;"ООО ""ПУ ""Казаньэлектрощит"", Россия, г.Казань, ИНН 1659033810, КПП 166001001, nikolaev@kazanelectro.ru";1659033810;"Шкаф силовой распределительный ~400В со счетчиком ""СЭТ-4ТМ.02М.15"" и УЗИП I+II класса, напольный, размером 2200(h)х600х600, (N,PE) в составе: вводной коммутационный аппарат - ВА57-35-34001020 УХЛ3, 160А, - 1шт.; отходящие коммутационные аппараты - ВА47-29-1С4-УХЛ3-КЭАЗ - 1шт.; ВА47-29-1С16-УХЛ3-КЭАЗ - 2шт.; ВА47-29-1С25-УХЛ3-КЭАЗ - 1шт.; ВА47-29-3С25-УХЛ3-КЭАЗ - 1шт.; ВА47-29-3С40-УХЛ3-КЭАЗ - 1шт.; ВА47-29-3С63-УХЛ3-КЭАЗ - 2шт.; АВДТ32-22С16-А-УХЛ4-КЭАЗ - 3шт.; АВДТ32-22С25-А-УХЛ4-КЭАЗ - 1шт.; АД14-42С16-АС-УХЛ4 - 10шт.; АД14-42С32-АС-УХЛ4 - 1шт.; дополнительные комплектующие - УЗДП63-1-16А IEK, - 3шт.; УЗДП63-1-25А IEK, - 1шт.; ПМЛ-1160М-10А-220АС-УХЛ4-Б-КЭАЗ - 1шт.; РТЛ-1006-2-25А-(1,0-1,6А)-УХЛ4-КЭАЗ - 1шт.; ВА47-НР230-КЭАЗ, - 1шт. ПР УХЛ3.1 IP31 ТУ 3434-010-33874352-2015.";"Шкаф силовой распределительный ~400В со счетчиком ""СЭТ-4ТМ.02М.15"" и УЗИП I+II класса, напольный, размером 2200(h)х600х600, (N,PE) в составе: вводной коммутационный аппарат - ВА57-35-34001020 УХЛ3, 160А, - 1шт.; отходящие коммутационные аппараты - ВА47-29-1С4-УХЛ3-КЭАЗ - 1шт.; ВА47-29-1С16-УХЛ3-КЭАЗ - 2шт.; ВА47-29-1С25-УХЛ3-КЭАЗ - 1шт.; ВА47-29-3С25-УХЛ3-КЭАЗ - 1шт.; ВА47-29-3С40-УХЛ3-КЭАЗ - 1шт.; ВА47-29-3С63-УХЛ3-КЭАЗ - 2шт.; АВДТ32-22С16-А-УХЛ4-КЭАЗ - 3шт.; АВДТ32-22С25-А-УХЛ4-КЭАЗ - 1шт.; АД14-42С16-АС-УХЛ4 - 10шт.; АД14-42С32-АС-УХЛ4 - 1шт.; дополнительные комплектующие - УЗДП63-1-16А IEK, - 3шт.; УЗДП63-1-25А IEK, - 1шт.; ПМЛ-1160М-10А-220АС-УХЛ4-Б-КЭАЗ - 1шт.; РТЛ-1006-2-25А-(1,0-1,6А)-УХЛ4-КЭАЗ - 1шт.; ВА47-НР230-КЭАЗ, - 1шт. ПР УХЛ3.1 IP31";ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2761;103-201175-С;"ООО ""Элтех-сервис"", Россия, г. Омск";5506045132;"Оповещатель комбинированный с красной надписью ""Загазованность"" на белом фоне ""Молния-24-З"" по типу ТУ 4372-025-56433581-2016. Масса-0,0003 т.";"Оповещатель комбинированный с красной надписью ""Загазованность"" на белом фоне ""Молния-24-З"" Масса-0,0003 т";ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1417;6310-373934;"АО ""Сигма-Оптик"" , Россия, п/о Менделеево, ИНН 7735004572, КПП 773501001, admin@sigma-optic.ru";7735004572;Датчик-сигнализатор акустический превышения уровней содержания твердых включений в потоке газа в трубопроводе ДСП-АКЭ-2 МГФК.413163.002 по типу ТУ(4215-001-35258752-02 по типу ТУ) Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.Кг.505.0000.000-АТТ.ОЛ3 инв.№10170338№ 50-01/АВ-052742 от 1 декабря 2023 г. п. 13. Масса-0,04 т.;Датчик-сигнализатор акустический превышения уровней содержания твердых включений в потоке газа в трубопроводе Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.Кг.505.0000.000-АТТ.ОЛ3 инв.№10170338№ 50-01/АВ-052742 от 1 декабря 2023 г. п. 13. Масса-0,04 т;ЗЕЛЁНЫЙ;True;ДСП-АКЭ-2 | МГФК.;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1669;630-268628;"ООО ""ГАЗСНАБ"", Россия, г. Санкт-Петербург, ИНН 6140032807, КПП 381201001, info@gaz-snab.com";6140032807;Светильник светодиодный для ЖКХ ОЭСС СД 18К УХЛ1 IP65 по типу ТУ 3461-001-38442947-2015 (ТУ 27.40.39-001-38442947-2017). Масса-0,0009 т.;Светильник светодиодный для ЖКХ ОЭСС СД 18К УХЛ1 IP65. Масса-0,0009 т;ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;1320;19-424008-С;"ООО Завод ""Современные технологии изоляции"", Россия, г. Челябинск, ИНН 7453316245, КПП 772901000, info@zsti.ru";7453316245;Элемент Z-образный Ст 89х5 Пк-40 ТУ 1469-003-67983609-2012 +1д25х3 - 550/1400/550 ППУ ОЦ 280 Тип 1 ТУ 23.99.19-004-19833317-2019 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВПК.002.2402.000-НВ.Н1 инв.№10180258.;Элемент Z-образный Ст 89х5 Пк-40 +1д25х3 - 550/1400/550 ППУ ОЦ 280 Тип 1 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВПК.002.2402.000-НВ.Н1 инв.№10180258;ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;1170;19-306843-С;"ООО ""Белэнергомаш-БЗЭМ"", ИНН 3123315768";3123315768;Тройник Т I 325(19К48)х89(8К48)-12,5(18,75)-В-210-60 ТУ 1469-017-38948552-2015.;Тройник Т I 325(19К48)х89(8К48)-12,5(18,75)-В-210-60;ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;1585;23-274945-С;"ООО ""Арматурный завод"", Россия, г.Уфа, ИНН 0278170037, КПП 027601001, armz@arm-z.ru";0278170037;"Кран шаровой двухходовой условного диаметра DN 40 PN 16 кгс/см2 (1,6 МПа) с ручным приводом, тип присоединения к трубопроводу - муфтовое с трубной резьбой G 1""1/2, основной материал деталей- 09Г2С, материал уплотнения - PTFE КШ.1.фт-40-16.09Г2С.MG1.р1 по типу ТУ 3742-016-64164940-2011.";"Кран шаровой двухходовой условного диаметра DN 40 PN 16 кгс/см2 (1,6 МПа) с ручным приводом, тип присоединения к трубопроводу - муфтовое с трубной резьбой G 1""1/2, основной материал деталей- 09Г2С, материал уплотнения - PTFE КШ.1.фт-40-16.09Г2С.MG1.р1";ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;1623;19-447601-С;"ООО НПО ""Фундаментстройаркос"", ИНН 7203106421";7203106421;"Термостабилизатор ТСГ-17; Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.5102.000-ТСГ5.ОЛ6 инв.№016100/0004.";"Термостабилизатор ТСГ-17; Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.5102.000-ТСГ5.ОЛ6 инв.№016100/0004";ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;2229;19-314454-С;"ЗАО ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ХИМСЕРВИС"" ИМЕНИ А.А. ЗОРИНА"", ИНН 7116001422";7116001422;"Анод магнетитовый подпочвенный глубинный ""Менделеевец""-МПГ 6МПГ(5-3.4)-200х10(ПКЗ-ПвПп)-ТМ ТУ 27.12.31-051-24707490-2021.";Анод магнетитовый подпочвенный глубинный -МПГ 6МПГ(5-3.4)-200х10(ПКЗ-ПвПп)-ТМ;ЗЕЛЁНЫЙ;True;МЕНДЕЛЕЕВЕЦ;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1539;649-448171;"ООО ""КБ Пожарной Автоматики"", Россия, г.Саратов, ИНН 6452063705, КПП 645201001, support@rubezh.ru";6452063705;Шкаф управления вентилятором адресный, тип электросети: 3-х фазная, мощность двигателя: 3,0кВт, производитель: Schneider Electric, устройство плавного пуска, адресный протокол: R2 ШУН/В-3,0-01-УПП-R2, ПАСН.425412.010 по типу ТУ. Масса-0,012 т.;Шкаф управления вентилятором адресный, тип электросети: 3-х фазная, мощность двигателя: 3,0кВт, устройство плавного пуска, адресный протокол: R2 ШУН/В-3,0-01-УПП-R2, ПАСН.425412.010. Масса-0,012 т;ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;897;13-210304-С;"ООО НПП ""Спецкабель"", ИНН 7701165130";7701165130;Кабель 2х2эх0,75 СКАБ 250Кнг(А)-HF-ХЛ по типу ТУ 16.К99-061-2013.;Кабель 2х2эх0,75 СКАБ 250Кнг(А)-HF-ХЛ;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;40;651-482475-2;"АО ""Уромгаз"", ИНН 6670021409";6670021409;Установка автомобильная газонаполнительная компрессорная станция типа ББТ-АГНКС в составе: блок технологический (КПГ), колонка газозаправочная (3 шт), блок входных кранов ТУ 4575-070-59955467-09 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВЖК.000.3213.051-ТХВ.ТТ (изм.2).;Установка автомобильная газонаполнительная компрессорная станция типа ББТ-АГНКС в составе: блок технологический (КПГ), колонка газозаправочная (3 шт), блок входных кранов Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВЖК.000.3213.051-ТХВ.ТТ (изм.2);ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;348;631-374123;"ООО ""ПТИМАШ"", Россия, г.Димитровград, ИНН 7302021384, КПП 730201001, ptimash@ptimash.ru";7302021384;Резервуар наземный горизонтальный стальной хозяйственно-питьевого запаса воды V-50 м3 по типу ТУ 3615-002-25435667-2011 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.2223.055-ВК.ОЛ инв.№10170113. Масса-12, т.;Резервуар наземный горизонтальный стальной хозяйственно-питьевого запаса воды V-50 м3 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.2223.055-ВК.ОЛ инв.№10170113. Масса-12, т;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;501;633-372721;"ООО""Бантер Групп"", Россия, г.Екатеринбург, ИНН 7203295433, КПП 667801001, info@bunter.ru";7203295433;Свеча рассеивания 60C-1 по типу ТУ 3667-019-27016963-2017 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0303.024-ТХ1.ОЛ1 инв.№10169924. Масса-1,2 т.;Свеча рассеивания 60C-1 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0303.024-ТХ1.ОЛ1 инв.№10169924. Масса-1,2 т;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;185;633-395875;"ООО Завод Противопожарного Оборудования ""ГАЗБАЛТПРОМ"", Россия, г.Петрозаводск, ИНН 1001353434, КПП 100101001, info@gazbaltprom.ru";1001353434;"Станция струйных аппаратов с одним струйным аппаратом производительностью 200 куб.м/час, с одной эжекторной системой, стационарного способа установки, эжекторная система неподвижная; с глубиной погружения до десяти метров, с системой автоматического управления, с системой обогрева - чехлы теплоизоляционные утепляющие с обогревом посредством греющего кабеля ССА-Н300-200/1-0092.Р13/1.048 по типу ТУ 42.21.13-021-63887518-2021 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.2038.048-ВК.ОЛ инв.№10173352. Масса-2,5 т.";"Станция струйных аппаратов с одним струйным аппаратом производительностью 200 куб.м/час, с одной эжекторной системой, стационарного способа установки, эжекторная система неподвижная; с глубиной погружения до десяти метров, с системой автоматического управления, с системой обогрева - чехлы теплоизоляционные утепляющие с обогревом посредством греющего кабеля ССА-Н300-200/1-0092.Р13/1.048 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.2038.048-ВК.ОЛ инв.№10173352. Масса-2,5 т";ЗЕЛЁНЫЙ;True;;
