Код Autodocs;Завод;Исходное;v15;Статус;KEEP loss;Idempotence fail;Residual confirmed;Референс
448781;"ООО ""Полимерные изделия"" , ИНН 1659041811";Воздуховод полимерный № 00,0,1,2,3,4,5,6. Габариты, мм-200х50х50 Ттп-«КМИЗ» ТУ 9436-116-05519988-2002;Воздуховод полимерный № 00,0,1,2,3,4,5,6. Габариты, мм-200х50х50 Ттп-«КМИЗ»;ЗЕЛЁНЫЙ;False;False;;Воздуховод полимерный № 00,0,1,2,3,4,5,6. Габариты, мм-200х50х50 Ттп-«КМИЗ»
276490;"ООО ""БАЛТЕХ "", Россия, Санкт-Петербург, ИНН 7804145619, КПП 780401001, info@baltech.ru";Система универсальная для лазерной центровки валов, шкивов ременных передач и измерения вибрации. Габаритные размеры вычислительного блока, мм: 103х181х29, измерительных блоков, мм: 92х77х33 BALTECH SA-4600 ТУ 4389-030-53292586-2015;Система универсальная для лазерной центровки валов, шкивов ременных передач и измерения вибрации. Габаритные размеры вычислительного блока, мм: 103х181х29, измерительных блоков, мм: 92х77х33 BALTECH SA-4600;ЗЕЛЁНЫЙ;False;False;;Система универсальная для лазерной центровки валов, шкивов ременных передач и измерения вибрации. Габаритные размеры вычислительного блока, мм: 103х181х29, измерительных блоков, мм: 92х77х33 BALTECH SA-4600
361202;"ООО ""Русгеосинт"", Россия, г. Нижний Новгород, ИНН 5261103779, КПП 526101001, info+1381230@geo-sin.ru, info+1381884@geo-sin.ru";"Изделие габионное ""Геомакс"" К-3х1х0,5-С-80-2,7-Ц СТО 13486530-007-2016";"Изделие габионное ""Геомакс"" К-3х1х0,5-С-80-2,7-Ц СТО 13486530-007-2016";ЗЕЛЁНЫЙ;False;False;;"Изделие габионное ""Геомакс"" К-3х1х0,5-С-80-2,7-Ц СТО 13486530-007-2016"
254952;"ООО ""Делонги "", ИНН 1646017441";Кофемашина De'Longhi Magnifica. Мощность, кВт-1,45. Габариты, мм-240x430x350. ECAM 22.360S;Кофемашина De'Longhi Magnifica. Мощность, кВт-1,45. Габариты, мм-240x430x350. ECAM 22.360S;ЗЕЛЁНЫЙ;False;False;;Кофемашина De'Longhi Magnifica. Мощность, кВт-1,45. Габариты, мм-240x430x350. ECAM 22.360S
190680;"ООО ""ОПТЕН-КАБЕЛЬ"", Россия, д.Суоранда, ИНН 4703062953, КПП 470301001, marketing@opten.spb.ru";Кабель волоконно-оптический для прокладки в канализации и внутри зданий ОПН-ДПО-нг(А)-HF-06-048А08-2,7 ТУ 3587-002-56938994-2011;Кабель волоконно-оптический для прокладки в канализации и внутри зданий ОПН;ЗЕЛЁНЫЙ;False;False;;Кабель волоконно-оптический для прокладки в канализации и внутри зданий ОПН-ДПО-нг(А)-HF-06-048А08-2,7
423114;"ООО ""ЮЦС"", Россия, Москва, ИНН 7726398426, КПП 772601001, sales@yutong-center.com";Автобус, кол-во мест 53-57, Nдв.=244,9кВт/333л.с. Габаритные размеры, мм - 12300х2550х3620 Yutong ZK 6127 HQ комплектация по обосновывающему документу 0092.032.Р.12/1.0004.УКПГ.001.3207.208-ТХВ1.ОЛ25 (изм.4) инв.№10180232;Автобус, кол-во мест 53-57, Nдв.=244,9кВт/333л.с. Габаритные размеры, мм - 12300х2550х3620 Yutong ZK 6127 HQ комплектация по обосновывающему документу 0092.032.Р.12/1.0004.УКПГ.001.3207.208-ТХВ1.ОЛ25 (изм.4) инв.№10180232;ЗЕЛЁНЫЙ;False;False;;Автобус, кол-во мест 53-57, Nдв.=244,9кВт/333л.с. Габаритные размеры, мм - 12300х2550х3620 Yutong ZK 6127 HQ комплектация по обосновывающему документу 0092.032.Р.12/1.0004.УКПГ.001.3207.208-ТХВ1.ОЛ25 (изм.4) инв.№10180232
342565;"ООО ""Международная группа компаний ""Световые технологии"" (OOO ""МГК ""Световые технологии""), Россия, г. Москва, ИНН 7715723321, КПП 771501001, info@msk.LTcompany.com";"Табло информационное взрывозащищенное светодиодное с пиктограммой ""ПОЖАРНЫЙ ГИДРАНТ"" постоянного действия в комплекте с аккумуляторной батареей, 4 Вт, время работы в аварийном режиме 3 часа, с креплением на стену, в комплекте с кабельным вводом для небронированного кабеля серии NA (арт. 2327009380), 1 Ex db IIC T6 Gb, IP66. Код 1389000420 PROTON LED Exd W034 ТУ 3461-025-88466159-15";"Табло информационное взрывозащищенное светодиодное с пиктограммой ""ПОЖАРНЫЙ ГИДРАНТ"" постоянного действия в комплекте с аккумуляторной батареей, 4 Вт, время работы в аварийном режиме 3 часа, с креплением на стену, в комплекте с кабельным вводом для небронированного кабеля серии NA, 1 Ex db IIC T6 Gb, IP66. Код 1389000420 PROTON LED Exd W034";ЗЕЛЁНЫЙ;False;False;;"Табло информационное взрывозащищенное светодиодное с пиктограммой ""ПОЖАРНЫЙ ГИДРАНТ"" постоянного действия в комплекте с аккумуляторной батареей, 4 Вт, время работы в аварийном режиме 3 часа, с креплением на стену, в комплекте с кабельным вводом для небронированного кабеля серии NA (), 1 Ex db IIC T6 Gb, IP66. Код 1389000420 PROTON LED Exd W034"
131518;"ООО ""Концерн Медведь Производственный Участок № 7"", Россия, 156603, г. Кострома";Кондиционер центральный КПКЦ-3,15-С3 ТУ 4863-023-32509656-2010 комплектация по обосновывающему документу 4550РД.00.Р.01.УКПГ.3.176.ОВ.Н1 инв.№820465;Кондиционер центральный КПКЦ-3,15-С3 комплектация по обосновывающему документу 4550РД.00.Р.01.УКПГ.3.176.ОВ.Н1 инв.№820465;ЖЁЛТЫЙ;False;False;;Кондиционер центральный КПКЦ-3,15-С3 комплектация по обосновывающему документу 4550РД.00.Р.01.УКПГ.3.176.ОВ.Н1 инв.№820465
274903;"ООО ТПК ""Татполимер"", Россия, г.Чистополь, ИНН 1652013117, КПП 165201001, sales@tatpolimer.ru";Трап вертикальный D110,материал корпуса ПП,материал решетки из нержавеющей стали 150х150, пропускная способность 1л/с, наименование запахозапирающего устройства-гидрозатвор.;Трап вертикальный D110,материал корпуса ПП,материал решетки из нержавеющей стали 150х150, пропускная способность 1л/с, наименование запахозапирающего устройства-гидрозатвор;ЗЕЛЁНЫЙ;False;False;;Трап вертикальный D110,материал корпуса ПП,материал решетки из нержавеющей стали 150х150, пропускная способность 1л/с, наименование запахозапирающего устройства-гидрозатвор.
193637;"ООО """"ГК ""КИПКомплект"", Россия, г. Уфа, ИНН 276921055, КПП 27601001, gaz@kipkomplekt.ru";Одориметр органолептический стационарный ОРГО;Одориметр органолептический стационарный ОРГО;ЗЕЛЁНЫЙ;False;False;;Одориметр органолептический стационарный ОРГО
270487;"НПП ""Динамика"", Россия, г.Чебоксары, ИНН 2129001830, КПП 213001001, dynamics@chtts.ru";Вольтамперфазометр РЕТОМЕТР-М3 БРГА.411259.008ТУ;Вольтамперфазометр РЕТОМЕТР-М3;ЗЕЛЁНЫЙ;False;False;;Вольтамперфазометр РЕТОМЕТР-М3
72813;"АО ""Нефтемаш"" - САПКОН";Клапан дыхательный механический со встроенным огнепреградителем Ду 150 в комплекте с ответными фланцами и крепежом КДМ1-150 У1 ТУ 26-02-1111-94;Клапан дыхательный механический со встроенным огнепреградителем Ду 150 в комплекте с ответными фланцами и крепежом КДМ1-150 У1;ЗЕЛЁНЫЙ;False;False;;Клапан дыхательный механический со встроенным огнепреградителем Ду 150 в комплекте с ответными фланцами и крепежом КДМ1-150 У1
470322;"ООО ""Центр промышленного снабжения и комплектации"", ИНН 7714730848";Газоперекачивающий агрегат ГПА-6 4471-22 ТЗ Комплектация по обосновывающему документу 0108.152.001.Р.0004.149.0000.1029.466-ТХГП.ОЛ1 (изм.1) инв.№008729/0004;Газоперекачивающий агрегат ГПА-6 4471-22 ТЗ Комплектация по обосновывающему документу 0108.152.001.Р.0004.149.0000.1029.466-ТХГП.ОЛ1 (изм.1) инв.№008729/0004;ЗЕЛЁНЫЙ;False;False;;Газоперекачивающий агрегат ГПА-6 4471-22 ТЗ Комплектация по обосновывающему документу 0108.152.001.Р.0004.149.0000.1029.466-ТХГП.ОЛ1 (изм.1) инв.№008729/0004
270518;"ЗАО ""ИРБИС-Т"", Россия, г. Тула, ИНН 7103026941, КПП 710301001, company@shtyl.ru";Инвертор 48/230, 2000ВА/1500 Вт Штиль PS48/1500 (STS-HS) ГБРА.430434.003 ТУ;Инвертор 48/230, 2000ВА/1500 Вт Штиль (STS-HS) ГБРА.430434.003;ЗЕЛЁНЫЙ;False;False;;Инвертор 48/230, 2000ВА/1500 Вт Штиль PS48/1500 (STS-HS) ГБРА.430434.003
342369;"АО ""СИБУР-Нефтехим"", ИНН 5249051203";Моноэтиленгликоль (МЭГ) 1-й сорт ГОСТ 19710-2019;Моноэтиленгликоль (МЭГ) 1-й сорт ГОСТ 19710-2019;ЗЕЛЁНЫЙ;False;False;;Моноэтиленгликоль (МЭГ) 1-й сорт ГОСТ 19710-2019
37092;"ОАО ""Старооскольский завод электромонтажных изделий"", Россия, г.Старый Оскол, ИНН 3128001324, КПП 312801001, nku@soemi.ru";Уголок К-236 У2 ТУ 3449-018-05774835-2007;Уголок К-236 У2;ЗЕЛЁНЫЙ;False;False;;Уголок К-236 У2
259492;"АО ""Морозовский химический завод"", ИНН 4703068137";"Система лакокрасочного покрытия (цвет красный) RAL 3020 ""Армокот F100"" ТУ 2312-047-23354769-2016";Система лакокрасочного покрытия (цвет красный) RAL 3020;ЗЕЛЁНЫЙ;False;False;;Система лакокрасочного покрытия (цвет красный) RAL 3020
446664;"ООО НПО ""РУСАРСЕНАЛ"", Россия, Москва, ИНН 7733653557, КПП 773301001, mail@rusarsenal.ru";Рукав пожарный напорный с внутренним гидроизоляционным покрытием в сборе с головками ГР-80, длиной 20 м Селект РПМ(В)-80-1,6-УХЛ1 ТУ 13.96.16-060-85787444-2022;Рукав пожарный напорный с внутренним гидроизоляционным покрытием в сборе с головками ГР-80, длиной 20 м Селект РПМ(В)-80-1,6-УХЛ1;ЗЕЛЁНЫЙ;False;False;;Рукав пожарный напорный с внутренним гидроизоляционным покрытием в сборе с головками ГР-80, длиной 20 м Селект РПМ(В)-80-1,6-УХЛ1
178169;"ООО ""Алстрим Энерго"", Россия, Санкт-Петербург";Система мониторинга волоконно-оптического кабеля Комплектация по обосновывающему документу 4570РД2-7.00.Р.03.ЛПУ.4.1.УС.ОЛ2 (изм.1) инв.№872741;Система мониторинга волоконно-оптического кабеля Комплектация по обосновывающему документу 4570РД2-7.00.Р.03.ЛПУ.4.1.УС.ОЛ2 (изм.1) инв.№872741;ЗЕЛЁНЫЙ;False;False;;Система мониторинга волоконно-оптического кабеля Комплектация по обосновывающему документу 4570РД2-7.00.Р.03.ЛПУ.4.1.УС.ОЛ2 (изм.1) инв.№872741
132024;"ООО НПП""Промтех-СК"", Россия, г.Пермь";Кран мостовой электрический однобалочный подвесной во взрывобезопасном исполнении 8,0-10,2 ТУ 3157-017-38906708-2013 комплектация по обосновывающему документу 4550РД.00.Р.01.УКПГ.3.171.ТХ.ОЛ3 инв.№820770;Кран мостовой электрический однобалочный подвесной во взрывобезопасном исполнении 8,0-10,2 комплектация по обосновывающему документу 4550РД.00.Р.01.УКПГ.3.171.ТХ.ОЛ3 инв.№820770;ЗЕЛЁНЫЙ;False;False;;Кран мостовой электрический однобалочный подвесной во взрывобезопасном исполнении 8,0-10,2 комплектация по обосновывающему документу 4550РД.00.Р.01.УКПГ.3.171.ТХ.ОЛ3 инв.№820770
247403;"ООО ""АНИ пласт"", ИНН 7734240249";"Cифон регулируемый ""АНИ"" для душевого поддона (1 1/2""- Ду40) арт. Е210 ТУ 4952-003-54639483-2006";"Cифон регулируемый ""АНИ"" для душевого поддона (1 1/2""- Ду40)";ЗЕЛЁНЫЙ;False;False;;"Cифон регулируемый ""АНИ"" для душевого поддона (1 1/2""- Ду40)"
505063;"ООО ""Комэкопром"", ИНН 6911019381";Сооружение канализационное очистное производственных стоков производительностью 200 м3/сутки ТУ 4859-002-93265872-2012 Комплектация по обосновывающему документу 0450.001.010.Р3.0004.287.ГП3.2054.011-ВК.ОЛ (изм.1);Сооружение канализационное очистное производственных стоков производительностью 200 м3/сутки Комплектация по обосновывающему документу 0450.001.010.Р3.0004.287.ГП3.2054.011-ВК.ОЛ (изм.1);ЗЕЛЁНЫЙ;False;False;;Сооружение канализационное очистное производственных стоков производительностью 200 м3/сутки Комплектация по обосновывающему документу 0450.001.010.Р3.0004.287.ГП3.2054.011-ВК.ОЛ (изм.1)
228094;"ООО ""НПО ""Вымпел"", Россия, г.Саратов";Система подачи ингибитора СПИ-02-2К-25-30-0,3/5,0-П-П-Х-Х-Х КРАУ 2.833.014ТУ комплектация по обосновывающему документу 4505.00.Р.01.УКПГ-ГП.000.220.Т.ОЛ11К инв.№10050871;Система подачи ингибитора СПИ-02-2К-25-30-0,3/5,0-П-П-Х-Х-Х КРАУ комплектация по обосновывающему документу 4505.00.Р.01.УКПГ-ГП.000.220.Т.ОЛ11К инв.№10050871;ЖЁЛТЫЙ;False;False;;Система подачи ингибитора СПИ-02-2К-25-30-0,3/5,0-П-П-Х-Х-Х КРАУ комплектация по обосновывающему документу 4505.00.Р.01.УКПГ-ГП.000.220.Т.ОЛ11К инв.№10050871
76327;"ООО ""Компания СИМАС"", Россия, Москва, ИНН 7726538560, КПП 772601001, info@simas.ru";Стакан градуированный, объем, мл: 250, цена деления, мл: 10, внешний диаметр, мм: 71, высота, мм: 95 5.1B004 KARTELL;Стакан градуированный, объем, мл: 250, цена деления, мл: 10, внешний диаметр, мм: 71, высота, мм: 95 5.1B004 KARTELL;ЗЕЛЁНЫЙ;False;False;;Стакан градуированный, объем, мл: 250, цена деления, мл: 10, внешний диаметр, мм: 71, высота, мм: 95 5.1B004 KARTELL
317640;"ООО ""Кирелис"", Россия, Москва, ИНН 5027141583, КПП 502701001, mail@kirelis.ru";"Камлок из нержавеющей стали F-150 1 1/2""(38мм) Импорт";"Камлок из нержавеющей стали F-150 1 1/2""(38мм) Импорт";ЗЕЛЁНЫЙ;False;False;;"Камлок из нержавеющей стали F-150 1 1/2""(38мм) Импорт"
342956;"АО ""Эридан"", ИНН 6604007264";"Оповещатель пожарный взрывозащищенный световой, 1Ex db mb [ib] IIC T4 Gb Х, с постоянно присоединенной внешней взрывозащищенной клеммной коробкой с двумя кабельными вводами КВБ17 для монтажа бронированным кабелем с диаметром брони до 17 мм и одной заглушкой, с надписью ""ЗАГАЗОВАННОСТЬ» красными буквами на черном фоне, с дополнительной звуковой секцией, с козырьком, напряжение питания 24В Экран-С-ККВ-К3-24VDC-ГП, «ЗАГАЗОВАННОСТЬ» (К/Ч), КВБ17, КВБ17, ЗГ, СЗК Экран ТУ 4371-007-43082497-05";"Оповещатель пожарный взрывозащищенный световой, 1Ex db mb [ib] IIC T4 Gb Х, с постоянно присоединенной внешней взрывозащищенной клеммной коробкой с двумя кабельными вводами КВБ17 для монтажа бронированным кабелем с диаметром брони до 17 мм и одной заглушкой, с надписью ""ЗАГАЗОВАННОСТЬ» красными буквами на черном фоне, с дополнительной звуковой секцией, с козырьком, напряжение питания 24В, «ЗАГАЗОВАННОСТЬ» (К/Ч), КВБ17, КВБ17, ЗГ, СЗК Экран";ЗЕЛЁНЫЙ;False;False;;"Оповещатель пожарный взрывозащищенный световой, 1Ex db mb [ib] IIC T4 Gb Х, с постоянно присоединенной внешней взрывозащищенной клеммной коробкой с двумя кабельными вводами КВБ17 для монтажа бронированным кабелем с диаметром брони до 17 мм и одной заглушкой, с надписью ""ЗАГАЗОВАННОСТЬ» красными буквами на черном фоне, с дополнительной звуковой секцией, с козырьком, напряжение питания 24В Экран-С-ККВ-К3-24VDC-ГП, «ЗАГАЗОВАННОСТЬ» (К/Ч), КВБ17, КВБ17, ЗГ, СЗК Экран"
70596;"ЗАО ""ТВЭЛ-Теплоросс"", Россия, Санкт-Петербург, ИНН 4712019030, КПП 471201001, tvel-pex@mail.ru";Отвод 90град. ВПГ ППУ ПЭ 38х2/110 тип I ТУ 5768-003-27519262-97;Отвод 90град. ВПГ ППУ ПЭ 38х2/110 тип I;ЗЕЛЁНЫЙ;False;False;;Отвод 90град. ВПГ ППУ ПЭ 38х2/110 тип I
163012;"ООО ""Егорьевский завод РТИ"", ИНН 7714373716";Набивка сальниковая ЛП ЛП-31 4х4 мм, ГОСТ 5152-84;Набивка сальниковая ЛП ЛП-31 4х4 мм, ГОСТ 5152-84;ЗЕЛЁНЫЙ;False;False;;Набивка сальниковая ЛП ЛП-31 4х4 мм, ГОСТ 5152-84
467277;"ООО ""Лабконцепт"", ИНН 7801697467";ИК-Фурье спектрометр, спектральный диапазон показаний, см-1: от 7800 до 350, максимальное спектральное разрешение (без аподизации), см-1, не более: 0,85, потребляемая мощность, кВт: 0,08, габаритные размеры, мм: 490х420х240. Комплект: персональный компьютер, Wi-Fi модуль для соединения с ПК i-Red 7800u-L. Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.3502.209-ХЛ.ОЛ72 (изм.3) инв.№038975/0004;ИК-Фурье спектрометр, спектральный диапазон показаний, см-1: от 7800 до 350, максимальное спектральное разрешение (без аподизации), см-1, не более: 0,85, потребляемая мощность, кВт: 0,08, габаритные размеры, мм: 490х420х240. Комплект: персональный компьютер, Wi-Fi модуль для соединения с ПК i-Red 7800u-L. Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.3502.209-ХЛ.ОЛ72 (изм.3) инв.№038975/0004;ЗЕЛЁНЫЙ;False;False;;ИК-Фурье спектрометр, спектральный диапазон показаний, см-1: от 7800 до 350, максимальное спектральное разрешение (без аподизации), см-1, не более: 0,85, потребляемая мощность, кВт: 0,08, габаритные размеры, мм: 490х420х240. Комплект: персональный компьютер, Wi-Fi модуль для соединения с ПК i-Red 7800u-L. Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.3502.209-ХЛ.ОЛ72 (изм.3) инв.№038975/0004
268712;"ООО ""ВиКонт"", Россия, Москва";Вибростенд взрывозащищенный переносной аккумуляторный ВСВ-131Ex, ВТПР.441161.020 ТУ;Вибростенд взрывозащищенный переносной аккумуляторный ВСВ-131Ex, ВТПР.441161.020;ЖЁЛТЫЙ;False;False;;Вибростенд взрывозащищенный переносной аккумуляторный ВСВ-131Ex, ВТПР.441161.020
65790;"АО ""Арамильский завод передовых технологий""";"Соединение тройниковое Ст(159х5,0+1ф32х3,0)х355-(25х3,0)х250-ППУ-ОЦ тип VII Ст.09Г2С Skin-система по технологии ООО ""Специальные системы и технологии"" труба 32х3,0 ГОСТ 8732-78/ст.20 ГОСТ 8731-74 с шаровым краном воздушника ф20 КШ.Ц.С.020/015.016.03 с изоляцией по ГОСТ 30732-2006";"Соединение тройниковое Ст(159х5,0+1ф32х3,0)х355-(25х3,0)х250-ППУ-ОЦ тип VII Ст.09Г2С Skin-система по технологии ООО ""Специальные системы и технологии"" труба 32х3,0 ГОСТ 8732-78/ст.20 ГОСТ 8731-74 с шаровым краном воздушника ф20 КШ.Ц.С.020/015.016.03 с изоляцией по ГОСТ 30732-2006";ЗЕЛЁНЫЙ;False;False;;Соединение тройниковое Ст(159х5,0+1ф32х3,0)х355-(25х3,0)х250-ППУ-ОЦ тип VII Ст.09Г2С Skin-система по технологии
352851;"ООО ""КОПТЕРТ"", ИНН 7719431129";"Квадрокоптер в исполнении Fly More Combo Plus (DJI RC) в составе: 1. Квадрокоптер DJI Mini 3 -1 шт; 2. Пульт РУ DJI RC -1 шт; 3. Аккумулятор -3 шт; 4. Запасные пропеллеры -3 пар; 5. Запасные винты -18 шт; 6. Отвертка -1 шт; 7. Защита карданного подвеса -1 шт; 8. Кабель PD от Type-C до Type-C -1 шт; 9. Кабель USB-C -1 шт; 10. Сумка -1 шт; 11. Двусторонний зарядный концентратор -1 шт. DJI Mini 3";"Квадрокоптер в исполнении Fly More Combo Plus (DJI RC) в составе: 1. Квадрокоптер DJI Mini 3 -1 шт; 2. Пульт РУ DJI RC -1 шт; 3. Аккумулятор -3 шт; 4. Запасные пропеллеры -3 пар; 5. Запасные винты -18 шт; 6. Отвертка -1 шт; 7. Защита карданного подвеса -1 шт; 8. Кабель PD от Type-C до Type-C -1 шт; 9. Кабель USB-C -1 шт; 10. Сумка -1 шт; 11. Двусторонний зарядный концентратор -1 шт. DJI Mini 3";ЗЕЛЁНЫЙ;False;False;;"Квадрокоптер в исполнении Fly More Combo Plus (DJI RC) в составе: 1. Квадрокоптер DJI Mini 3 -1 шт; 2. Пульт РУ DJI RC -1 шт; 3. Аккумулятор -3 шт; 4. Запасные пропеллеры -3 пар; 5. Запасные винты -18 шт; 6. Отвертка -1 шт; 7. Защита карданного подвеса -1 шт; 8. Кабель PD от Type-C до Type-C -1 шт; 9. Кабель USB-C -1 шт; 10. Сумка -1 шт; 11. Двусторонний зарядный концентратор -1 шт. DJI Mini 3"
241491;"ООО ""АНКАС"", Россия, г. Челябинск, ИНН 7451376055, КПП 745101001, sell@ankas.ru";"Шланг для масла 3/4 ""Samoa"", 5 метров";"Шланг для масла 3/4 ""Samoa"", 5 метров";ЗЕЛЁНЫЙ;False;False;;"Шланг для масла 3/4 ""Samoa"", 5 метров"
65608;"ОАО ""Техника связи"", Беларусь, г.Барань";Коробка универсальная, клеммная УК-2П ЯДКГ 000001.001.ТУ;Коробка универсальная, клеммная УК-2П ЯДКГ;ЗЕЛЁНЫЙ;False;False;;Коробка универсальная, клеммная УК-2П ЯДКГ
528037;"ООО Завод ""Современные технологии изоляции"", ИНН 7453316245";"Опора неподвижная тип 5-А для надземной прокладки Ст89х4 Ст.09Г2С ГОСТ 8732-78 + 1д32х3-325х25 ТУ 25.11.22-020-19833317-2021-ППУ-280-ОЦ ст.20 ГОСТ 8734-75, ТУ 23.99.19-004-19833317-2019 ""расположение теплоспутника - 12 часов"" ТУ 25.11.22-020-19833317-2021";"Опора неподвижная тип 5-А для надземной прокладки Ст89х4 Ст.09Г2С ГОСТ 8732-78 + 1д32х3-325х25 ст.20 ГОСТ 8734-75, ""расположение теплоспутника - 12 часов""";ЗЕЛЁНЫЙ;False;False;;"Опора неподвижная тип 5-А для надземной прокладки Ст89х4 Ст.09Г2С ГОСТ 8732-78 + 1д32х3-325х25 ГОСТ 8734-75, ""расположение теплоспутника - 12 часов"""
206329;"ООО ""АБН"", Россия, Москва, ИНН 7730640648, КПП 775101001, info@abn.ru";Патч-корд U/UTP, Cat.5e, LSZH, 20 м, серый Hyperline PC-LPM-UTP-RJ45-RJ45-C5e-20M-LSZH-GY;Патч-корд U/UTP, Cat.5e, LSZH, 20 м, серый Hyperline PC-LPM-UTP-RJ45-RJ45-C5e-20M-LSZH-GY;ЗЕЛЁНЫЙ;False;False;;Патч-корд U/UTP, Cat.5e, LSZH, 20 м, серый Hyperline PC-LPM-UTP-RJ45-RJ45-C5e-20M-LSZH-GY
402737;"ЗАО ""Мытищинский Приборостроительный Завод"", Россия, г.Мытищи, ИНН 5029217125, КПП 502901001, info@mpz.ru";Лаборатория волоконно-оптических линий связи Комплектация по обосновывающему документу 3719.001.П.0/0.0004.АИЦ.001.4003.001-УС.ОЛ1 инв.№10176074;Лаборатория волоконно-оптических линий связи Комплектация по обосновывающему документу 3719.001.П.0/0.0004.АИЦ.001.4003.001-УС.ОЛ1 инв.№10176074;ЗЕЛЁНЫЙ;False;False;;Лаборатория волоконно-оптических линий связи Комплектация по обосновывающему документу 3719.001.П.0/0.0004.АИЦ.001.4003.001-УС.ОЛ1 инв.№10176074
192014;"ООО  ""Аркон"", Россия, поселок Мохсоголлох";Промежуточная деревянная опора ПД65-2,2 ГОСТ 9463-2016;Промежуточная деревянная опора ПД65-2,2 ГОСТ 9463-2016;ЖЁЛТЫЙ;False;False;;Промежуточная деревянная опора ПД65-2,2 ГОСТ 9463-2016
256578;"АО ""Вибро–прибор"", Россия, Санкт–Петербург, ИНН 7801090626, КПП 781001001, general@vpripribordat.ru";Аппаратура контроля вибрации. Диапазон частот измеряемой виброскорости, Гц - 30 - 200. Диапазон выходного постоянного напряжения, пропорционального измеряемой виброскорости, на нагрузку не менее 10 кОм, мВ-250...5000. Габариты, мм – 240х240х80. ИВ-Д-ПФ-5МТ.1 ЖЯИУ.421431.001-127 ТУ;Аппаратура контроля вибрации. Диапазон частот измеряемой виброскорости, Гц - 30 - 200. Диапазон выходного постоянного напряжения, пропорционального измеряемой виброскорости, на нагрузку не менее 10 кОм, мВ-250...5000. Габариты, мм – 240х240х80. ИВ-Д-ПФ-5МТ.1;ЗЕЛЁНЫЙ;False;False;;Аппаратура контроля вибрации. Диапазон частот измеряемой виброскорости, Гц - 30 - 200. Диапазон выходного постоянного напряжения, пропорционального измеряемой виброскорости, на нагрузку не менее 10 кОм, мВ-250...5000. Габариты, мм – 240х240х80. ИВ-Д-ПФ-5МТ.1 ЖЯИУ.421431.001-127
499297;"АО ""СПКБ Техно"", ИНН 5036043550";Кабель огнестойкий оптический СП-ОКБнг(А)-FRHF-М8П-8А-20 ТУ 3587-017-70464675-2015;Кабель огнестойкий оптический СП-ОКБнг(А)-FRHF-М8П-8А-20;ЗЕЛЁНЫЙ;False;False;;Кабель огнестойкий оптический СП-ОКБнг(А)-FRHF-М8П-8А-20
231911;"ООО НПП ""Экоюрус-Венто"", Россия, Санкт-Петербург, ИНН 7806031350, КПП 781401001, mail@ecoyurus.ru";Агрегат фильтровентиляционный. Мощность, кВт - 3,00. Габариты, мм - 1766х1048х2270 ЦФВ-3000 ТУ 3646-005-11161094-2016;Агрегат фильтровентиляционный. Мощность, кВт - 3,00. Габариты, мм - 1766х1048х2270 ЦФВ-3000;ЗЕЛЁНЫЙ;False;False;;Агрегат фильтровентиляционный. Мощность, кВт - 3,00. Габариты, мм - 1766х1048х2270 ЦФВ-3000
66581;"ООО ""Компания КиМ"" , Россия, Москва, ИНН 7718756491, КПП 771801001, moscow@kim-ltd.ru";Увлажнитель воздуха, площадь/объем помещения: 60/150, резервуар для воды, л: 5, расход воды, г/ч: 400, потребляемая мощность, кВт: 0,04, габаритные размеры, мм: 400х185х290 Boneco 7136;Увлажнитель воздуха, площадь/объем помещения: 60/150, резервуар для воды, л: 5, расход воды, г/ч: 400, потребляемая мощность, кВт: 0,04, габаритные размеры, мм: 400х185х290 Boneco 7136;ЗЕЛЁНЫЙ;False;False;;Увлажнитель воздуха, площадь/объем помещения: 60/150, резервуар для воды, л: 5, расход воды, г/ч: 400, потребляемая мощность, кВт: 0,04, габаритные размеры, мм: 400х185х290 Boneco 7136
198879;"ООО ""СовИнструментСервис"", Россия, Москва";Микрометр гладкий цифровой, диапазон измерений 25-50мм, цена деления 0,001мм МКЦ 25-50 ГОСТ 6507-90;Микрометр гладкий цифровой, диапазон измерений 25-50мм, цена деления 0,001мм МКЦ 25-50 ГОСТ 6507-90;ЗЕЛЁНЫЙ;False;False;;Микрометр гладкий цифровой, диапазон измерений 25-50мм, цена деления 0,001мм МКЦ 25-50 ГОСТ 6507-90
